Name,In Charge,Industry,Type,Tech,PM,Keep Confidential,confidential title,Country,Ref or website,SA,Member,Files,Summary EN,Summary CN,"Challenges, solutions and results EN","Challenges, solutions and results CN",Kickoff Date,On 4idps Website
If High,Corrado,"Media & Entertainment, Start-ups, Travel","APP, Business Model Consulting, Service",Digital Publishing,Alan Feng,No,,Taiwan,https://www.facebook.com/ifhigh/,,,Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/If_High.jpg,Our client is a successful entrepreneur with a love of diving. The project entailed the publication of an interactive book about his diving experiences. The result was Taiwan's first interactive book app about underwater creatures.,If high是由一位熱愛潛水的成功企業家所創立。我們受委託出版出版互動電子書，這也是台灣第一個結合海底攝影作品和科技的互動電子書。,"Challenges: 
The book needed to be published in 2 languages, and in addition to technology, we were also in charge of the text and translation. This meant that regular client communication was key
Solutions:
We met with the client on a weekly basis to assure that the key messages are included in the book, and that the style matches the expectations
Result:
The book was published on time and had a good market response","Challenges 挑戰/ 主要問題: ：這本書需要發行2種語言，除了技術，我們還負責文字內容和翻譯。因此需要更密切及有效與客戶溝通，確保主要訊息一致
Solution 解決方案/ 導入過程: 我們每週與客戶會面，並確保書中主要訊息描述正確，且設計的風格符合預期
Result 成效: 電子書按時出版，市場反映良好。",,Yes
iPass,Alan,"Education, Financial Services, Property",APP,"NodeJS, ReactNative",,Yes,https://4idps.com/wp-admin/post.php?post=2877&action=edit,Taiwan,,,,,"Our client is a university. We were called on to develop an electricity usage metering system for the student's aircon, which allows the students to buy electricity credits.",客戶是來自台灣的一所大學。我們接到需求，要為學生的空調開發一個用電量計算系統，該系統可以讓學生購買電力點數。,"Challenges: it was necessary to integrate various hardware devices into our system, some of which didn't have any communication protocols yet.
Solution: We met with all of the hardware vendors in order to find solutions to integrate all of them.
Result: the project was delivered on time and to the client's full satisfaction","Challenges 挑戰/ 主要問題: 需要將各種硬體的設備串接到我們的系統中，其中一些還沒有任何通訊協定(Communication Protocols)。
Solution 解決方案/ 導入過程: 我們召集許多的硬體供應商以評估整合硬體及軟體的解決方案。
Result 成效: 成功開發用電量計算系統，系統持續在大學供學生使用。",,Yes
JBJOB,Faust,"E-commerce, Social Media","APP, B2B, Service, Website","Graphql, MSSQL, NodeJS, React, ReactNative",Faust Liu,No,,Taiwan,http://www.jbjob.com.tw,Faust Liu,"Alan Feng, Frank Wang, Kai ., Brian Yu",,"Our client is a leading job site. The project was to develop a diversified and fully parametric online check-in system that integrates functions such as geographic information, Wifi binding and QRCode scanning.",JBJOB 為台灣的人力資源集團，我們受委託開發多樣性且全參數化的線上打卡系統，整合地理資訊、Wifi綁定及QRCode掃描等功能。,"Challenges:
Multi-tenant architecture and fully parametric design make development and testing more difficult.
Solutions:
In addition to rigorous design, we had to continuously test and fine-tune the functionalities with our customers for different situations.
Result:
The case was closed after rigorous testing.","Challenges:
多租戶架構及全參數化設計，著實讓開發及測試更為困難。
Solutions:
除嚴謹設計外，與客戶一同針對不同情境進行持續測試及微調。
Result:
經嚴密測試及快速回應需求後通過結案。",,Yes
Jetalbert,Julia,"Start-ups, Travel","B2C, Business Model Consulting, Data Analysis, Website, eCommerce","JAVA, Membership system, Postgres, React",Julia Wang,Corrado check,,United States,https://www.foxtrotdash.com/,,Julia Wang,"Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2022-09-20_at_5.36.51_PM.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2022-09-20_at_5.37.18_PM.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2022-09-20_at_5.37.35_PM.png",Our client is a US-based start-up in the points redemption field. The project entailed the creation of a product which allows users to get advise on how to best use their points from various frequent flyer and credit card point systems.,"Jetalbert是位在美國的新創公司，主要提供美國的信用卡資訊，以及消費者如何使用手邊的信用卡點數及航空哩程數的服務。
我們受委託開發一套工具讓使用者可將手邊的信用卡或里程點數在平台上試算後，系統將透過特定演算法提供使用者相對應可兌換的航班里程數資訊。","Challenge:
The algorithm which defines the various redemption options was very complex.
Solutions:
We fine-tuned the algorithm repeatedly until the results were convincing.
Result:
The result met the expectation of customers and they were satisfied with the final product.","Challenges: 
需要在有限的資料內透過特定演算法呈現不同航程及航線的資訊。
Solution:
針對不同點數及航空公司的方案分類呈現相對應的訊息。
Result:
達成預期成果, 客戶對產出的結果感到非常滿意。",,Yes
JetEdge,Julia,"Airline, Travel","APP, Service","NodeJS, ReactNative",Julia Wang,Corrado check,,United States,,,,,Our client is a US-based private jet company. Our project entailed the creation of an app that allows customers to book flights. It includes various membership options as well as catering and is connected to a backend that calculates the pricing and communicates it to the client once it is available,"建立APP讓消費者可以提前預訂私人飛機,  並在登機前先填寫個人資料 及完成點餐。","Challenges:
The app is relatively complex, as it contains multiple integrations and notifications. In addition we had to work with a worldwide client team.
Solutions:
We set up weekly ""all hands"" meetings with all of the client participants and interacted individually for detailed issues. The programming itself was done by a 4-people full time team.
Result:
We delivered the APP to our client in 4 months.","Challenges:
須在有限的時間內跨海確認整體的商業流程並完成APP。
Solution:
與客戶透過線上會議及溝通軟體緊密溝通確認細節。
Result:
如期在四個月內交付APP。",,Yes
KGCM,Faust,Media & Entertainment,"APP, C2C, Website, eCommerce","AWS, MongoDB, NextJS, NodeJS, React, ReactNative",Faust Liu,Yes,"Entrepreneurial ","Malaysia, Taiwan",https://web.appbanana.life,Wunhow Chien,"Brian Yu, Frank Wang, Kai .","Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-09-23_at_6.18.11_PM.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-09-23_at_6.23.55_PM.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-09-23_at_6.24.18_PM.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-09-23_at_6.25.11_PM.png","Our client is an entrepreneurial company that decided to develop a new product line in the video streaming field, which allows for interactions between viewers and content producers, as well as in-app gifting and payment options",KGCM 是一家新創公司，仿造SWAG平台、提供會員儲值、購買主播影片、與主播互動聊天送禮，主播可以透過APP進行影片錄製發送即時消息與訊息供會員查看，後台使用者可以審核主播貼文、代理主播發送影片及聊天。,"Challenges:
The main challenges are 1) delivering the streamed video quickly and in good quality while using minimal bandwidth, and 2) assuring that many users can log in simultaneously, which influences the programming approach.
Solutions:
We considered many video compression mechanisms and eventually found one that was ideally suited for our project. 2) Using our experience with node.js we programmed the whole site in a way that held up to the stringent requirements.
Result:
The site went online on time and is still in use today","Challenges 挑戰/ 主要問題: 主要挑戰是 1) 在使用最小頻寬的同時提供高品質的串流影音2) 需要確保各地的用戶可以同時登錄，這會影響程式的部署。

Solution 解決方案/ 導入過程: 1) 我們嘗試了許多影片壓縮系統，最終找到了符合我們需求的系統。 2) 利用我們在 node.js 方面的經驗部署網站，構建出復雜系統

Result 成效: 網站在時程內交付，並且仍上線營運中。",,Yes
KK Stream,Faust,"B2B, B2C, Media & Entertainment, Software","APP, Website","Flutter, React",Faust Liu,No,,Taiwan,,Faust Liu,,,The client is a well-known video and audio streaming manufacturer. The project requires the development of a multi-tenant video and audio streaming rental platform.,客戶是相當有名的影音串流廠商。該專案需要開發一個多租戶架構的影音串流租賃平台。,"Challenges:
The project timeline is quite short and several client representatives were involved in the system development, making the spec definition challenging.
Solution:
The modular design approach allowed us to maintain a high degree of flexibility, and we adjusted the design and functionalities on a weekly basis in order to fine-tune it to our clients' needs.
Result:
The project was successfully completed in 3.5 months and the CI/CD process was fully established.","Challenges:
專案時程相當短且需要快速回應不同單位的需求。
Solution:
以模組化設計保有高度彈性，並藉由SA與客戶高強度的深度溝通，掌握整體需求。
Result:
順利於3.5個月完成該專案，並完整建立CI/CD流程。",,Yes
Le Meng,Alan,"E-commerce, Hardware, Logistics",,,Alan Feng,,,Taiwan,,,,,Our client is a leading e-book publisher. The project entailed the development of a new e-reading app,客戶是一家電子書出版商。該專案需要開發一個新的電子書APP,"Challenges:
The project had to be finished within 2 months, which was very short considering that the specs weren't clear initially. 
Solutions:
We intergated our custom-made backend into wordpress to call the app data
Results:
Our client was very happy with the end result, and the project was delivered on time","Challenges 挑戰/ 主要問題: 專案必須在 2 個月內完成，考量到規格並不明確，這個時程相對很短。

Solution 解決方案/ 導入過程: 我們將客製化開發的後端串聯到 wordpress 中並與APP應用程式數據對接。

Result 成效: 我們按時交付，且開發出的電子書APP符合客戶需求",,Yes
Levelheroes,Corrado,"Gaming, Social Media, Start-ups","C2C, Website","AWS, Graphql, React",Bruno C,No,,Switzerland,https://levelheroes.com,,"Bruno C, Weng Steven, jin@4idps.com","Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-08-06_at_4.36.27_PM.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-08-06_at_4.36.42_PM.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Levelheroes.png",Our client is a Swiss start-up incubator and the project entails a gaming / social media platform,客戶是一家來自瑞士的新創企業孵化器，他們需要協助建立一個遊戲/社交媒體平台。,"Challenges: 
The design had to be changed several times due to the start-up nature of the business. This meant several changes on the frontend
Solutions:
We made sure to interact closely with the client so that the design corresponds to the latest version at all times
Result:
The project was delivered to the client's full satisfaction","Challenges 挑戰/ 主要問題: 由於新創初期時常需要調整業務模式，也因此設計上也時常需要經歷修改，也意味著前端需要因應調整。
Solution 解決方案/ 導入過程: 導入過程需要密切與客戶聯繫溝通，確保設計始終與最新版本相對應。
Result 成效: 交付成果符合客戶期望。",,Yes
Logitech,Corrado,"Gaming, Hardware",APP,,Alan Feng,No,,"Switzerland, Taiwan",,,,Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Image-1.png,"Our client is a leading peripherals brand, and the project entailed the development of an interactive marketing app for their latest line of earphones",我們的客戶是領先的電腦週邊裝置品牌，該專案需要為他們最新的耳機產品線系列開發互動APP程式,"Challenges: 
The products needed to be displayed well on a small phone size
Solutions:
Our design team spent a lot of time working on all of the details to make sure that a great visual experience is achieved on a small phone with minimal need to go back and forth between pages
Result:
The project was delivered to the client's full satisfaction","Challenges 挑戰/ 主要問題: 產品需要在非常小的尺寸螢幕上展示
Solution 解決方案/ 導入過程: 我們的設計團隊花了很多時間處理所有細節，以確保在小型手機上也能保有出色的視覺體驗。
Result 成效:客戶對於最終成果相當滿意 ",,Yes
Luxury Watcher,Corrado,"Fashion&Beauty, Media & Entertainment","APP, Service",,,Yes,https://4idps.com/wp-admin/post.php?post=3636&action=edit,Taiwan,https://www.luxurywatcher.com/zh-Hant,,,Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Luxury_Watcher_logo.png,"Our client is a leading international men's lifestyle magazine. They needed a digitally published, interactive issue, for both pad and phone size.",我們的客戶是一家國際性的男性生活雜誌。他們需要開發一個數位出版的互動電子雜誌，並且要能適用於平板電腦和手機。,"Challenges:
1. The frequency of a monthly magazine means that designers need to produce the pages very fast.
2. The design needed to be optimised for both iPad and iPhone, which meant that 2 designs were produced of the entire magazine
Solution: We built an entire design team around our digital publishing activities, which was more than able to help our client have a great design, and quick turnaround time
Result: Our client's magazine was successful in the marketplace and enjoyed high download rates.","Challenges 挑戰/ 主要問題: 1.由於雜誌每月出刊，因此設計師需要非常快速地製作頁面。 2.設計需要同時針對iPad和iPhone進行優化，因此我們針對整個雜誌製作了2個設計
Solution 解決方案/ 導入過程:  我們投入經驗豐富的設計團隊，以期能夠提供我們的客戶獲得高品質的設計和更加快速的設計整備時間。
Result 成效: 該互動電子雜誌在市場上很成功，下載率也很高。",,Yes
mietech,,,,,,Jerry manual,,,,,,,,,"Challenge:
Solution:
Result:
","Challenges 挑戰/ 主要問題: 
Solution 解決方案/ 導入過程: 
Result 成效: ",,No
Mintron,Jerry,"B2B, Manufacturing","APP, Business Model Consulting","NodeJS, ReactNative",,No,,Taiwan,,,,,Our client is an NGO which hosts  events on weekly basis. They want to build an event registration system which can support near field positioning. We did the proof of concept for them.,此客戶是一家公益團體，他們每週都會舉辨例行性的活動或課程。他們希望能開發一套報名系統，同時這套系統必需能支援定位活動。在確認採用哪一種技術之前，需要先做概念驗證。,"Challenge:
Use a beacon to do near-field positioning. 
Solution:
We did a system analysis and also did some research on different beacon solutions.  
Result:
We created a complete System Analysis Report and also delivered the POC successfully.","Challenges 挑戰/ 主要問題: 使用Beacon感測場域定位
Solution 解決方案/ 導入過程: 我們進行了系統分析之外，並對不同的Beacon解決方案進行研究。
Result 成效: 我們建立完整的系統分析報告並成功交付了 POC。",,Yes
Netown,Alan,Life Sciences & Healthcare,,,Alan Feng,Yes,https://4idps.com/wp-admin/post.php?post=3641&action=edit,Taiwan,https://www.netown.tw,,,,Our client is a health services provider which concentrates on weight loss. Our project entailed the development of a backend for client data to follow up on the progress,客戶為健身器材供應商。我們受委託開發後端的系統整合管理客戶的資料。,"Challenges:
The main challenge was the very short deadline for the project delivery
Solution: In the interest of speed, we put more project members on the project than would have been necessary purely from an engineering point of view
Result: The project was delivered on time and to our client's full satisfaction","Challenges 挑戰/ 主要問題: 主要挑戰是專案交付的期限非常短
Solution 解決方案/ 導入過程: 為了加快速度，我們在項目中加入了更多的專案成員
Result 成效: 專案按時按質交付",,Yes
NetProtections,Alan,"E-commerce, Financial Services, Software",Team augmentation,"AWS, JAVA, REST, React",Alan Feng,No,,Japan,"https://www.netprotections.com, https://aftee.tw",,"Bruno C, Weng Steven",,Our client is a Japanese payment services provider. The project entailed the development of a buying on credit system.,NetProtection是一家日本支付服務供應商。專案需要開發信用卡支付系統。,"Challenges: integration with an international development team with differing coding and documentation standards
Solution: we managed to get the project done thanks to strong communication with the teams involved
Result: the project was delivered quickly and to the client's full satisfaction","Challenges 挑戰/ 主要問題: 我們需要與不同專業背景的國際開發團隊，協調活動是開發過程中相當大的挑戰。
Solution 解決方案/ 導入過程:開發過程中建立明確的工作程序、方法、與標準，並且與相關團隊的定期的會議溝通。
Result 成效: 專案交付迅速，客戶非常滿意",,Yes
Netronix,Jerry,"Consulting, Manufacturing","APP, Team augmentation","Android, EPub3, JAVA",,Yes,E-Ink Reader Manufacturer,Taiwan,http://www.netronixinc.com,,,,"Our client is an e-Ink reader manufacturer. The project scope was to provide new features on their Android based PDF and ePub apps. ",我們的客戶是電子墨水閱讀器供應商。他們需要在使用 Android 的 PDF 和 ePub APP 閱讀器上提供新功能。,"Challenges:
The project was very urgent, and Client wanted us to put 2 Java developers + 1 SA at their disposal immediately. 
Solution: We assigned qualified developers and built the team to work with them within one month.
Result: The team achieved very fast progress while working closely with the client's internal team.","Challenges 挑戰/ 主要問題: 挑戰：1. 客戶想額外招聘 2 Java 開發人員 + 1 SA 團隊。
Solution 解決方案/ 導入過程: 我們在一個月內找到了合適的開發人員，並建立與客戶合作的團隊。
Result 成效: 該團隊與客戶的內部團隊密切合作，進展非常順利。",,Yes
Neveast,Corrado,"Logistics, Retail, Start-ups",Business Model Consulting,,,No,,Jamaica,http://neveast.com,,,"Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-09-24_at_11.00.21_AM.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-09-24_at_11.00.35_AM.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-09-24_at_11.00.56_AM.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-09-24_at_11.01.11_AM.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-09-24_at_11.01.37_AM.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-09-24_at_11.02.22_AM.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-09-24_at_11.02.43_AM.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-09-24_at_11.02.58_AM.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-09-24_at_11.03.34_AM.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-09-24_at_11.03.51_AM.png",Our client is a large furniture company which wants to develop various high-tech projects,Neveast是一家大型家具公司，想開發多個高科技項目的產品。,"Challenges:
The key point was to advise not only on technology, but also on market and marketing issues
Solution: We put a project manager on the case who was had worked and accompanied various start-up's and was experienced with the kind of app that our client wanted to develop
Result: We developed 3 concepts for our client to assess and the project was delivered to the client's full satisfaction","Challenges 挑戰/ 主要問題: 關鍵是不僅要在技術方面提供建議，還要就市場跟行銷層面提供建議。
Solution 解決方案/ 導入過程: 我們安排了一名專案經理來處理這個案例，他曾與許多新創公司配合，並且對我們的客戶想要開發的APP應用程式有相當多的工作經驗。
Result 成效: 我們為我們的客戶提供了 3 個概念進行評估，並且專案成果使客戶相當滿意。",,Yes
NextMile,Corrado,"Consulting, Social Media, Start-ups","B2C, Business Model Consulting, Data Analysis, Service, Website, eCommerce","AWS, JAVA, React",Corrado von Planta,No,,Australia,,,,"Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/nextmile.txt, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Picture2%203.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Picture1%204.png",Our client was a start-up in the HR sector. The goal of the project was to build a platform which allows job applicants to be paired with jobs with the use of AI,客戶做為一家專注在人力資源的新創公司。我們協助該公司建立一個平台，讓求職者能夠透過AI人工智能配對到工作。,"Challenge:
The scope of work increased drastically early on, due to changes on the client’s end. So we had to quickly build up our expertise in a tech stack that we were not familiar with.
Solution:
We brought in experts to help us kick-start our internal expertise, and eventually got up to speed by ourselves.
Result:
The project was delivered to the client's full satisfaction","Challenges 挑戰/ 主要問題: 由於新創環境的變化，工作範疇也在過程中有增加。因此，我們必須在我們相對不熟悉的技術環境中快速建立我們的專業知識。

Solution 解決方案/ 導入過程:  我們聘請了專家來幫助我們啟動對於人工智能環境的專業知識。

Result 成效: 網站依照客戶的需求交付，並得到客戶讚賞。",,Yes
Option,Corrado,"Automotive, Media & Entertainment","APP, B2C, CMS, Data Analysis, Maintenance, Service, eCommerce","Design, Digital Publishing",,No,,Taiwan,,,Eva Lin,Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-08-05_at_6.05.30_PM.png,Our client is Taiwan's leading car tuning magazine. The goal of this project was to produce their interactive magazine for the iPad / iPhone,Option是在台灣專業的改裝車雜誌，此專案的目標是要針對iPad / iPhone製作專屬的互動雜誌。,"Challenges:
1. The frequency of a monthly magazine means that designers need to produce the pages very fast.
2. The design needed to be optimised for both iPad and iPhone, which meant that 2 designs were produced of the entire magazine
Solution: We built an entire design team around our digital publishing activities, which was more than able to help our client have a great design, and quick turnaround time
Result: Our client's magazine was extremely successful in the marketplace and enjoyed extremely high download rates. We had to keep increasing the bandwidth on Azure, as each time a new issue was out, tens of thousands of people would be waiting online to download it","Challenges 挑戰/ 主要問題: 1.由於雜誌每月出刊，因此設計師需要非常快速地製作頁面。 2.設計需要同時針對iPad和iPhone進行優化，因此我們針對整個雜誌製作了2個設計。
Solution 解決方案/ 導入過程: 我們投入經驗豐富的設計團隊，以期能夠提供我們的客戶獲得高品質的設計和更加快速的設計整備時間。
Result 成效: 我們客戶的雜誌在市場上非常成功，下載率也非常高。我們必須持續放寬 Azure 的頻寬，因為每次發布新一期雜誌時，都會有上萬人在線等待下載。",,Yes
Peach Property,Corrado,Real Estate,"APP, Business Model Consulting",,Corrado von Planta,No,,Switzerland,https://www.peachproperty.com/en/,,,Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Peach.png,"Our client is a leading Swiss real estate company. They needed a digitally published, interactive issue, for both pad and phone size.",我們的客戶是一家在瑞士的房地產公司。他們需要一個數位出版雜誌，並且要適用於平板電腦和手機尺寸。,"Challenges:
The client has precise branding standards which were complex to fulfill for the small iphone size
Solution: We built an entire design team around our digital publishing activities, which was more than able to help our client have a great design, and quick turnaround time
Result: Our client's magazine was successful in the marketplace and enjoyed high download rates.","Challenges 挑戰/ 主要問題: 客戶有嚴格的品牌規範，而這對於需要套用在小尺寸的 iPhone 上來說相當有挑戰性
Solution 解決方案/ 導入過程: 我們投入經驗豐富的設計團隊，以提供我們的客戶獲得高品質的設計和更加快速的設計整備時間。
Result 成效: 客戶的雜誌在市場上很成功，下載率也很高。 ",,Yes
Plexstorm,Frans,"Gaming, Social Media",Team augmentation,"Design, Google Cloud, Laravel, MySQL, Nuxt.js, PHP, REST, TailwindCSS, Vercel, Vue.js, WebSocket",,No,,Switzerland,,,,"Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-08-17_at_3.00.07_PM.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-08-17_at_3.00.37_PM.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-08-17_at_3.01.14_PM.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-08-17_at_3.01.30_PM.png","Maintenance of a niche gaming oriented video streaming and social networking site that demanded loving care after being left without maintenance. The site had international user base of over 100k registered users who gave a lot of fierce feedback about the long-lasting problems and missing features of the site.

Project structure: The web site was divided into Nuxt.js SSR frontend app deployed to Vercel that used JSON REST API to talk to a load-balanced Laravel/PHP backend hosted on Google Cloud. The backend implemented authentication and user profile management, user content access,  intra-site payment and reward transactions using site-specific tokens, integration with several payment processing systems for adding tokens for premium content; furthermore, it handled the realtime chat  updates through web socket and email notifications.",客戶是一個經營小眾遊戲的視頻和社交網站，該網站擁有超過 10 萬註冊用戶的國際用戶群，用戶對於網站長期存在的問題和缺失的功能提出了很多的反饋。,"Challenges:
The development and architectural documentation was lacking in detail at the beginning of the project. There was a rich variety of technologies involved in the project design. The overall architecture was quite complicated and scalability requirements were demanding. There were many mysterious problems that showed transiently, and they were difficult to reproduce. During the beginning of the project, there were many support issues queued in the system that demanded action, many involving payments or user privacy/safety. Special problems were also caused by real and claimed attacks on the system.

Solutions:
We gradually increased the understanding of overall architecture and how different parts functioned together. The support cases were automated by providing admin functionality in the backend so that the hired expert development resources could be used more and more for feature development and bug fixing. Careful security reviews were done to address and then to mitigate the threats to the system, and to pacify the minds of the user base. Bugs were fixed and new features provided to show the users that they were not abandoned.

Result:
We were able to effectively understand the structure and do continued development on it within 1-2 months from the start of the project.","Challenges 挑戰/ 主要問題: 專案開始時缺乏詳細的開發和架構文檔，且設計涉及多種技術，整體架構相當複雜，系統中還存在許多涉及支付或用戶隱私/安全相關的問題。

Solution 解決方案/ 導入過程:我們逐漸掌握整體架構以及不同部分如何協同工作，並且在開發過程中我們做了仔細的安全審查以解決並減輕對系統的威脅，修復了錯誤並提供了新功能。

Result 成效: 我們能夠在專案開始後的 1-2 個月內有效地理解結構並進行開發。",,Yes
Quasidea,Frans,"Automotive, Consulting, Manufacturing",Team augmentation,"Docker, PHP, Qcodo",,Yes,https://4idps.com/wp-admin/post.php?post=3733&action=edit,United States,,,,,"Our customer is a US software company which among others maintains web sites for managing workflows for multiple automotive manufacturers and repair shops. They wished to free hands to take in other customers, and hence came knocking our doors.","客戶是一家美國軟體的公司，該公司擅長替汽車製造商及維修公司的網站經營及管理工作流程，他們希望進一步對系統開發並且能有更多的空間來接洽其他顧客。 ","Challenges:
Accidental complexity of the system. Inadequate documentation for the framework used.

Solution for both was to work closely with the customer to get hang of all the jazz and putting some effort to refactoring per agreement with the customer.

Result: We understood and were able to effectively do further development on the system within 2 months from taking over the project","Challenges 挑戰/ 主要問題:系統複雜性高，同時軟體框架的架構並不完整
Solution 解決方案/ 導入過程: 我們與客戶密切合作，並依據與客戶的協議進行重新架構。
Result 成效:我們能夠在很短的時間內上手，並且在接手專案的 2 個月內能有效地對系統進行進一步的開發。",,Yes
Ranktoto,,Gambling,"B2C, Website","Design, Wordpress",Corrado von Planta,Yes,https://4idps.com/wp-admin/post.php?post=4047&action=edit,South Korea,https://ranktoto.com/,Steve Lu,Corrado von Planta,"Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-10-28_at_4.59.16_PM.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-10-28_at_4.58.55_PM.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-10-28_at_4.58.30_PM.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-10-28_at_4.58.17_PM.png",Our client is a sports betting site operator. The goal of the project was the development of a new betting product.,客戶是一家體育博彩網站運營商。我們受委託開發一種新的博彩產品。,"Challenge:
Due to the nature of the business we needed to install multiple access safeguards. The design itself was relatively involved as well due to several Asian languages being used.
Solution:
We got up to speed quickly on the security needs for such a project by doing intensive research on best practices.
Result:
The project was delivered on time and to the client's full satisfaction, and is still in use today.","Challenges: 由於業務的性質，我們需要安裝多個Safeguard保護機制。也由於同時使用了多種亞洲語言，設計本身也相對複雜。

Solution: 我們做了大量的研究確保產品符合安全需求。

Result: 產品按時交付，令客戶完全滿意，至今仍上線運營中。
",,Yes
Schild,Corrado,Fashion&Beauty,APP,,Alan Feng,No,,Switzerland,,,,"Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/L_SCHILD_Journal_app_icon.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/image006.jpg","Our client is a leading Swiss fashion retail brand. The project entailed the production of a promotional app for phones and Pads, containing news from the fashion world","我們的客戶是瑞士領先的時尚零售品牌。專案需要為手機和平板開發促銷用的APP。 ","Challenges:
The client has precise branding standards which are complex to fulfill for the various device sizes it has to serve
Solution: We built an entire design team around our digital publishing activities, which was more than able to help our client have a great design, and quick turnaround time
Result: Our client's magazine was successful in the marketplace and enjoyed high download rates.","Challenges 挑戰/ 主要問題:：客戶有嚴格的品牌規範，而這對於需要套用在不同的裝置尺寸上來說非常有挑戰性
Solution 解決方案/ 導入過程:我們投入經驗豐富的設計團隊，以提供我們的客戶獲得高品質的設計和更加快速的設計整備時間
Result 成效: 客戶的雜誌在市場上很成功，下載率也很高。",,Yes
Seehotel Baumgarten,Corrado,"Real Estate, Travel","B2C, Service, Website",Google Ads,Corrado von Planta,No,,Switzerland,http://www.seehotel-baumgarten.com,,Eva Lin,,Our client is a Swiss high-end hotel. The project entailed the setting up of google ads accounts and follow-up of the ads strategy,Seehotel Baumgarten是一家瑞士高端的酒店，我們需要為客戶建立自訂報表系統外，並透過Google廣告帳戶和跟進廣告策略。,"Challenges:
We needed to achieve maximum impact with a limited google ads budget, while keeping the client well-informed of the progress
Solution: We built a custom reporting tool for the client to simplify quick insights from the campaigns
Result: We achieved a large number of bookings despite a limited budget","Challenges 挑戰/ 主要問題:需要在預算有限的情況下，發揮系統的成效。

Solution 解決方案/ 導入過程: 我們為客戶建立了一個自定義的報告系統，方便簡化對廣告活動的快速洞察。

Result 成效: 在廣告在有限的預算下，我們還是大幅提升了飯店訂房率。",,Yes
